"Position","Pattern","TP","SL","TrailAct","TrailRev","BeAct","BeMoveTo","TotalTrades","WinRate","NetProfit","AvgPnL","ProfitFactor","SharpeRatio","MaxDrawdown"
"Long","fixed",1000,500,NA,NA,NA,NA,141,0.425531914893617,16000,113.475177304965,1.40712468193384,0.158928199417371,5690
"Long","trailing",NA,NA,400,350,NA,NA,141,0.709219858156028,22120,156.879432624113,1.5830258302583,0.155127830158758,11490
"Long","fixed",600,200,NA,NA,NA,NA,141,0.326241134751773,8090,57.3758865248227,1.42578947368421,0.153989381264921,2800
"Long","fixed",500,200,NA,NA,NA,NA,141,0.361702127659574,7240,51.3475177304965,1.40222222222222,0.152914816687815,3100
"Long","trailing",NA,NA,500,450,NA,NA,141,0.680851063829787,22300,158.156028368794,1.54244709316468,0.152385129372205,11530
"Long","fixed",700,700,NA,NA,NA,NA,141,0.560283687943262,14230,100.921985815603,1.36310283235519,0.15123435310489,7350
"Long","trailing",NA,NA,600,450,NA,NA,141,0.645390070921986,23700,168.085106382979,1.49436795994994,0.147117099093678,10250
"Long","trailing",NA,NA,200,100,NA,NA,141,0.808510638297872,17020,120.709219858156,1.59365190094175,0.145841552794673,9890
"Long","trailing",NA,NA,300,100,NA,NA,141,0.730496453900709,19160,135.886524822695,1.51994572591588,0.144931646467275,10320
"Long","fixed",700,100,NA,NA,NA,NA,141,0.184397163120567,6240,44.2553191489362,1.54260869565217,0.14422745964971,3000
"Long","fixed",1000,900,NA,NA,NA,NA,141,0.531914893617021,17540,124.397163120567,1.35585311422195,0.143663177118402,9020
"Long","trailing",NA,NA,600,500,NA,NA,141,0.645390070921986,22930,162.624113475177,1.47830621610346,0.142479252561916,10370
"Long","fixed",800,400,NA,NA,NA,NA,141,0.411347517730496,11570,82.0567375886525,1.35490797546012,0.1419206454271,4670
"Long","fixed",400,200,NA,NA,NA,NA,141,0.404255319148936,5840,41.4184397163121,1.34761904761905,0.140677630423611,3000
"Long","fixed",800,900,NA,NA,NA,NA,141,0.574468085106383,15410,109.290780141844,1.33616928446771,0.139268462200441,10040
"Long","fixed",900,1000,NA,NA,NA,NA,141,0.574468085106383,16270,115.390070921986,1.32128751974724,0.132713131063389,9040
"Long","fixed",700,600,NA,NA,NA,NA,141,0.524822695035461,11830,83.9007092198582,1.31058020477816,0.132524137222688,7530
"Long","fixed",600,100,NA,NA,NA,NA,141,0.198581560283688,5140,36.4539007092199,1.45486725663717,0.131736473773528,3000
"Short","trailing",NA,NA,400,50,NA,NA,141,0.680851063829787,18350,130.141843971631,1.39986925256047,0.128427765109317,6980
"Long","fixed",600,700,NA,NA,NA,NA,141,0.588652482269504,10960,77.7304964539007,1.29336188436831,0.125689953425344,8350
"Short","trailing",NA,NA,500,50,NA,NA,141,0.645390070921986,18580,131.77304964539,1.37034084114012,0.123620703150885,7240
"Long","fixed",700,800,NA,NA,NA,NA,141,0.574468085106383,12240,86.8085106382979,1.29101283880171,0.12355707428537,8660
"Short","fixed",1000,200,NA,NA,NA,NA,141,0.226950354609929,8400,59.5744680851064,1.38709677419355,0.122172279933348,3340
"Long","fixed",700,300,NA,NA,NA,NA,141,0.361702127659574,8110,57.5177304964539,1.30171130952381,0.120597443437281,4600
"Long","fixed",500,700,NA,NA,NA,NA,141,0.631205673758865,9480,67.2340425531915,1.27590221187427,0.118779611312272,7780
"Short","fixed",1000,300,NA,NA,NA,NA,141,0.304964539007092,9330,66.1702127659574,1.31952054794521,0.115884034564427,5900
"Long","fixed",700,500,NA,NA,NA,NA,141,0.475177304964539,9640,68.3687943262411,1.26792662590328,0.115754531777649,6770
"Long","fixed",600,600,NA,NA,NA,NA,141,0.553191489361702,9280,65.8156028368794,1.25749167591565,0.11276268766762,8430
"Long","fixed",1000,1000,NA,NA,NA,NA,141,0.539007092198582,14160,100.425531914894,1.26521820565649,0.110835538032012,8600
"Long","trailing",NA,NA,300,150,NA,NA,141,0.730496453900709,14150,100.354609929078,1.38398914518317,0.108867935409891,10670
"Short","trailing",NA,NA,300,50,NA,NA,141,0.723404255319149,13920,98.7234042553192,1.33349305222808,0.107978723965149,7130
"Long","fixed",300,200,NA,NA,NA,NA,141,0.453900709219858,3800,26.9503546099291,1.24675324675325,0.107877954777678,3400
"Long","fixed",400,100,NA,NA,NA,NA,141,0.24822695035461,3240,22.9787234042553,1.30566037735849,0.106781720987747,2300
"Long","fixed",800,1000,NA,NA,NA,NA,141,0.581560283687943,12410,88.0141843971631,1.25,0.106527045865965,10040
"Long","fixed",500,100,NA,NA,NA,NA,141,0.212765957446809,3640,25.8156028368794,1.32792792792793,0.105874134716853,2600
"Long","fixed",500,600,NA,NA,NA,NA,141,0.595744680851064,7900,56.0283687943262,1.23624401913876,0.104781535131236,7860
"Long","fixed",300,100,NA,NA,NA,NA,141,0.297872340425532,2700,19.1489361702128,1.27272727272727,0.104307609355402,2300
"Long","trailing",NA,NA,200,150,NA,NA,141,0.808510638297872,11940,84.6808510638298,1.41646320195326,0.10383066243693,10340
"Long","fixed",700,400,NA,NA,NA,NA,141,0.418439716312057,7820,55.4609929078014,1.24285714285714,0.103607771485015,4270
"Long","none",NA,NA,NA,NA,NA,NA,141,0.531914893617021,17140,121.560283687943,1.32254422280768,0.102742470612122,9490
"Long","fixed",600,500,NA,NA,NA,NA,141,0.50354609929078,7640,54.1843971631206,1.2248381400824,0.0998774293766664,7570
"Short","trailing",NA,NA,400,100,NA,NA,141,0.680851063829787,13810,97.9432624113475,1.30093702331663,0.0984188949910291,7620
"Short","trailing",NA,NA,500,100,NA,NA,141,0.645390070921986,14480,102.695035460993,1.28861869643213,0.09807132735241,7390
"Short","trailing",NA,NA,600,50,NA,NA,141,0.609929078014184,15440,109.503546099291,1.2774483378257,0.0968027816444643,9550
"Long","fixed",500,500,NA,NA,NA,NA,141,0.546099290780142,6460,45.8156028368794,1.20327249842668,0.0921726229322654,7000
"Long","fixed",700,900,NA,NA,NA,NA,141,0.581560283687943,9480,67.2340425531915,1.20826010544815,0.0906766068747762,9920
"Long","fixed",600,800,NA,NA,NA,NA,141,0.595744680851064,8090,57.3758865248227,1.19813862356111,0.0872821280134548,9660
"Short","fixed",900,200,NA,NA,NA,NA,141,0.226950354609929,5500,39.0070921985816,1.25345622119816,0.0871213506048149,3340
"Long","trailing",NA,NA,300,200,NA,NA,141,0.730496453900709,10960,77.7304964539007,1.29742198100407,0.0852327422019688,11020
"Long","fixed",600,300,NA,NA,NA,NA,141,0.375886524822695,5010,35.531914893617,1.19063926940639,0.0819724146944028,5400
"Long","fixed",500,800,NA,NA,NA,NA,141,0.638297872340426,6910,49.0070921985816,1.18461127437884,0.0811881185114406,9090
"Short","trailing",NA,NA,1000,50,NA,NA,141,0.531914893617021,14340,101.702127659574,1.2187643020595,0.0790677669177203,12600
"Short","trailing",NA,NA,900,50,NA,NA,141,0.546099290780142,13660,96.8794326241135,1.21461115475255,0.0771519651499931,12830
"Short","trailing",NA,NA,700,50,NA,NA,141,0.588652482269504,12680,89.9290780141844,1.21289456010745,0.077020020155901,13210
"Short","fixed",900,300,NA,NA,NA,NA,141,0.304964539007092,5630,39.9290780141844,1.19280821917808,0.0756434715584724,6900
"Long","fixed",600,400,NA,NA,NA,NA,141,0.439716312056738,5220,37.0212765957447,1.16838709677419,0.0754834285586279,5070
"Short","trailing",NA,NA,600,100,NA,NA,141,0.609929078014184,11790,83.6170212765958,1.21185983827493,0.0751841119468905,10450
"Long","trailing",NA,NA,300,250,NA,NA,141,0.730496453900709,9590,68.0141843971631,1.26024423337856,0.074349461426632,11310
"Short","trailing",NA,NA,800,50,NA,NA,141,0.560283687943262,12460,88.3687943262411,1.19796631712742,0.0716259310421573,13510
"Short","trailing",NA,NA,500,150,NA,NA,141,0.645390070921986,10380,73.6170212765958,1.20689655172414,0.0715702268701695,7850
